service_date,mode,route_or_line,total_monthly_weekday_ridership,average_monthly_weekday_ridersh,countofdates_weekday,total_monthly_ridership,average_monthly_ridership,countofdates,ObjectId
2021/07/01 04:00:00+00,Rail,Orange Line,1714910,77950,22,2233289,72042,31,660
2021/07/01 04:00:00+00,Rail,Red Line,2073657,94257,22,2692995,86871,31,661
2021/07/01 04:00:00+00,Bus,Silver Line,437004,19864,22,576309,18591,31,662
2021/07/01 04:00:00+00,The RIDE,The RIDE,56089,2550,22,67121,2165,31,663
2021/08/01 04:00:00+00,Rail,Blue Line,791034,35956,22,1026682,33119,31,664
2021/08/01 04:00:00+00,Bus,Bus,4328505,196751,22,5243797,169154,31,665
2021/08/01 04:00:00+00,Commuter Rail,Commuter Rail,736562,33480,22,860464,27757,31,666
2021/08/01 04:00:00+00,Ferry,Ferry,50021,2274,22,63607,2052,31,667
2021/08/01 04:00:00+00,Rail,Green Line,1812627,82392,22,2308907,74481,31,668
2021/08/01 04:00:00+00,Rail,Orange Line,1872653,85121,22,2351879,75867,31,669
2021/08/01 04:00:00+00,Rail,Red Line,2253065,102412,22,2825162,91134,31,670
2021/08/01 04:00:00+00,Bus,Silver Line,468132,21279,22,593842,19156,31,671
2021/08/01 04:00:00+00,The RIDE,The RIDE,56713,2578,22,67155,2166,31,672
2021/09/01 04:00:00+00,Rail,Blue Line,858551,40883,21,1122408,37414,30,673
2021/09/01 04:00:00+00,Bus,Bus,5014310,238776,21,6026467,200882,30,674
2021/09/01 04:00:00+00,Commuter Rail,Commuter Rail,978777,46608,21,1135782,37859,30,675
2021/09/01 04:00:00+00,Ferry,Ferry,41106,1957,21,51686,1723,30,676
2021/09/01 04:00:00+00,Rail,Green Line,2283557,108741,21,3000467,100016,30,677
2021/09/01 04:00:00+00,Rail,Orange Line,2160932,102902,21,2737988,91266,30,678
2021/09/01 04:00:00+00,Rail,Red Line,2718541,129454,21,3403839,113461,30,679
2021/09/01 04:00:00+00,Bus,Silver Line,487975,23237,21,628547,20952,30,680
2021/09/01 04:00:00+00,The RIDE,The RIDE,61257,2917,21,75787,2526,30,681
2021/10/01 04:00:00+00,Rail,Blue Line,876422,41734,21,1163572,37535,31,682
2021/10/01 04:00:00+00,Bus,Bus,5081598,241981,21,6213440,200434,31,683
2021/10/01 04:00:00+00,Commuter Rail,Commuter Rail,1086358,51731,21,1361595,43922,31,684
2021/10/01 04:00:00+00,Ferry,Ferry,36871,1756,21,43954,1418,31,685
2021/10/01 04:00:00+00,Rail,Green Line,2284689,108795,21,3047920,98320,31,686
2021/10/01 04:00:00+00,Rail,Orange Line,2246083,106956,21,2919098,94164,31,687
