service_date,mode,route_or_line,total_monthly_weekday_ridership,average_monthly_weekday_ridersh,countofdates_weekday,total_monthly_ridership,average_monthly_ridership,countofdates,ObjectId
2016/11/01 04:00:00+00,Ferry,Boat-F3,20214,963,21,,,30,313
2016/11/01 04:00:00+00,Ferry,Boat-F4,13222,630,21,,,30,314
2016/11/01 04:00:00+00,Bus,Bus,7403080,370154,20,8321161,277372,30,315
2016/11/01 04:00:00+00,Commuter Rail,Commuter Rail,2760800,125491,22,2775855,92529,30,316
2016/11/01 04:00:00+00,Rail,Green Line,3999842,190469,21,4949912.35,164997,30,317
2016/11/01 04:00:00+00,Rail,Orange Line,4462162,212484,21,5257746.859999999,175258,30,318
2016/11/01 04:00:00+00,Rail,Red Line,5379346,256159,21,6283477.2,209449,30,319
2016/11/01 04:00:00+00,Bus,Silver Line,683466,34173,20,704047,23468,30,320
2016/11/01 04:00:00+00,The RIDE,The RIDE,147798,7038,21,178721,5957,30,321
2016/12/01 05:00:00+00,Rail,Blue Line,1286666,61270,21,1593364.2,51399,31,322
2016/12/01 05:00:00+00,Ferry,Boat-F1,58582,2790,21,,,31,323
2016/12/01 05:00:00+00,Ferry,Boat-F3,18851,898,21,,,31,324
2016/12/01 05:00:00+00,Ferry,Boat-F4,10447,497,21,,,31,325
2016/12/01 05:00:00+00,Bus,Bus,7119231,339011,21,7732417,249432,31,326
2016/12/01 05:00:00+00,Commuter Rail,Commuter Rail,2732358,124198,22,2751074,88744,31,327
2016/12/01 05:00:00+00,Rail,Green Line,3668669,174699,21,4593935.7,148191,31,328
2016/12/01 05:00:00+00,Rail,Orange Line,4108977,195666,21,4904247.57,158202,31,329
2016/12/01 05:00:00+00,Rail,Red Line,4916564,234122,21,5834454.2,188208,31,330
2016/12/01 05:00:00+00,Bus,Silver Line,666184,31723,21,672813,21704,31,331
2016/12/01 05:00:00+00,The RIDE,The RIDE,145378,6923,21,178366,5754,31,332
2017/01/01 05:00:00+00,Rail,Blue Line,1233388,61669,20,1652563,50078,33,333
2017/01/01 05:00:00+00,Ferry,Boat-F1,63397,3019,21,,,33,334
2017/01/01 05:00:00+00,Ferry,Boat-F3,17594,838,21,,,33,335
2017/01/01 05:00:00+00,Ferry,Boat-F4,9486,452,21,,,33,336
2017/01/01 05:00:00+00,Bus,Bus,6857420,342871,20,8003644,242534,33,337
2017/01/01 05:00:00+00,Commuter Rail,Commuter Rail,2530346,126517,20,2835036,85910,33,338
2017/01/01 05:00:00+00,Rail,Green Line,3522211,176111,20,4798905.68,145421,33,339
2017/01/01 05:00:00+00,Rail,Orange Line,4120364,206018,20,5256903.770000001,159300,33,340
2017/01/01 05:00:00+00,Rail,Red Line,4908606,245430,20,6248087,189336,33,341
2017/01/01 05:00:00+00,Bus,Silver Line,668607,33430,20,704132,21337,33,342
2017/01/01 05:00:00+00,The RIDE,The RIDE,139868,6993,20,171395,5194,33,343
2017/02/01 05:00:00+00,Rail,Blue Line,1162523,61185,19,1407076.5,50253,28,344
2017/02/01 05:00:00+00,Ferry,Boat-F1,48613,2431,20,,,28,345
2017/02/01 05:00:00+00,Ferry,Boat-F3,16303,815,20,,,28,346
2017/02/01 05:00:00+00,Ferry,Boat-F4,10328,516,20,,,28,347
2017/02/01 05:00:00+00,Bus,Bus,6320900,332679,19,7301412,260764,28,348
2017/02/01 05:00:00+00,Commuter Rail,Commuter Rail,2366827,124570,19,2566103,91647,28,349
2017/02/01 05:00:00+00,Rail,Green Line,3480091,183163,19,4465770.359999999,159492,28,350
2017/11/01 04:00:00+00,Rail,Red Line,5363767,255418,21,6203772.7,206792,30,351
2017/11/01 04:00:00+00,Bus,Silver Line,689488,32833,21,836488,27883,30,352
2017/11/01 04:00:00+00,The RIDE,The RIDE,138249,6583,21,165945,5532,30,353
2017/12/01 05:00:00+00,Rail,Blue Line,1226618,61331,20,1551999.9,50065,31,354
2017/12/01 05:00:00+00,Ferry,Boat-F1,55481,2774,20,,,31,355
2017/12/01 05:00:00+00,Ferry,Boat-F3,18639,932,20,,,31,356
2017/12/01 05:00:00+00,Ferry,Boat-F4,10798,540,20,,,31,357
2017/12/01 05:00:00+00,Bus,Bus,6426027,321301,20,7942371,256206,31,358
2017/12/01 05:00:00+00,Commuter Rail,Commuter Rail,2411351,120568,20,2576307,83107,31,359
2017/12/01 05:00:00+00,Rail,Green Line,3260363,163018,20,4144465.63,133692,31,360
2017/12/01 05:00:00+00,Rail,Orange Line,3801709,190085,20,4599923.78,148385,31,361
2017/12/01 05:00:00+00,Rail,Red Line,4526872,226344,20,5401888.1,174254,31,362
2017/12/01 05:00:00+00,Bus,Silver Line,612362,30618,20,773517,24952,31,363
2017/12/01 05:00:00+00,The RIDE,The RIDE,126210,6311,20,157784,5090,31,364
2018/01/01 05:00:00+00,Rail,Blue Line,1219373,58065,21,1563053.1,47365,33,365
2018/01/01 05:00:00+00,Ferry,Boat-F1,37209,1691,22,,,33,366
2018/01/01 05:00:00+00,Ferry,Boat-F3,16867,767,22,,,33,367
2018/01/01 05:00:00+00,Ferry,Boat-F4,10109,460,22,,,33,368
2018/01/01 05:00:00+00,Bus,Bus,6840788,325752,21,8217400,249012,33,369
2018/01/01 05:00:00+00,Commuter Rail,Commuter Rail,2490280,118585,21,2766706,83840,33,370
2018/01/01 05:00:00+00,Rail,Green Line,3296590,156980,21,4250325.39,128798,33,371
2018/01/01 05:00:00+00,Rail,Orange Line,3957517,188453,21,4823779.3,146175,33,372
2018/01/01 05:00:00+00,Rail,Red Line,4674595,222600,21,5690572.2,172442,33,373
2018/01/01 05:00:00+00,Bus,Silver Line,635181,30247,21,786331,23828,33,374
2018/01/01 05:00:00+00,The RIDE,The RIDE,125370,5970,21,151483,4590,33,375
2018/02/01 05:00:00+00,Rail,Blue Line,1217039,64055,19,1512814.1,54029,28,376
2018/02/01 05:00:00+00,Ferry,Boat-F1,57076,2854,20,,,28,377
2018/02/01 05:00:00+00,Ferry,Boat-F3,18843,942,20,,,28,378
2018/02/01 05:00:00+00,Ferry,Boat-F4,12109,605,20,,,28,379
2018/02/01 05:00:00+00,Bus,Bus,6579569,346293,19,7965649,284488,28,380
2018/02/01 05:00:00+00,Commuter Rail,Commuter Rail,2289469,120498,19,2425717,86633,28,381
2018/02/01 05:00:00+00,Rail,Green Line,3349163,176272,19,4226532.69,150948,28,382
2018/02/01 05:00:00+00,Rail,Orange Line,3908354,205703,19,4673469.73,166910,28,383
2018/02/01 05:00:00+00,Rail,Red Line,4593842,241781,19,5500918.6,196461,28,384
2018/02/01 05:00:00+00,Bus,Silver Line,598648,31508,19,739721,26419,28,385
2018/02/01 05:00:00+00,The RIDE,The RIDE,124694,6563,19,150311,5368,28,386
2018/03/01 05:00:00+00,Rail,Blue Line,1325375,60244,22,1647712.5,53152,31,387
2018/03/01 05:00:00+00,Ferry,Boat-F1,58898,2677,22,,,31,388
2018/03/01 05:00:00+00,Ferry,Boat-F3,17698,804,22,,,31,389
2018/03/01 05:00:00+00,Ferry,Boat-F4,12214,555,22,,,31,390
2018/03/01 05:00:00+00,Bus,Bus,7162827,325583,22,8619946,278063,31,391
2018/03/01 05:00:00+00,Commuter Rail,Commuter Rail,2556696,116213,22,2708447,87369,31,392
2018/03/01 05:00:00+00,Rail,Green Line,3582887,162859,22,4528997.159999999,146097,31,393
2018/03/01 05:00:00+00,Rail,Orange Line,4188913,190405,22,5036650.83,162473,31,394
2018/03/01 05:00:00+00,Rail,Red Line,4997285,227149,22,6001784.4,193606,31,395
2018/03/01 05:00:00+00,Bus,Silver Line,688734,31306,22,842411,27175,31,396
2018/03/01 05:00:00+00,The RIDE,The RIDE,128248,5829,22,155627,5020,31,397
2018/04/01 04:00:00+00,Rail,Blue Line,1424222,67820,21,1771992.5,59066,30,398
2018/04/01 04:00:00+00,Ferry,Boat-F1,63282,3013,21,,,30,399
2018/04/01 04:00:00+00,Ferry,Boat-F3,20982,999,21,,,30,400
2021/01/01 05:00:00+00,Rail,Blue Line,400315,21069,19,576132,18585,31,401
2021/01/01 05:00:00+00,Bus,Bus,2638473,138867,19,3501554,112954,31,402
2021/01/01 05:00:00+00,Commuter Rail,Commuter Rail,222252,11697,19,255946,8256,31,403
2021/01/01 05:00:00+00,Ferry,Ferry,6264,330,19,6264,202,31,404
2021/01/01 05:00:00+00,Rail,Green Line,733702,38616,19,1056887,34093,31,405
2019/02/01 05:00:00+00,Bus,Silver Line,655079,34478,19,827339,29548,28,406
2021/01/01 05:00:00+00,Rail,Orange Line,900334,47386,19,1255781,40509,31,407
2021/01/01 05:00:00+00,Rail,Red Line,1003252,52803,19,1392431,44917,31,408
2019/02/01 05:00:00+00,The RIDE,The RIDE,110010,5790,19,138199,4936,28,409
2021/01/01 05:00:00+00,Bus,Silver Line,240789,12673,19,342824,11059,31,410
2019/03/01 05:00:00+00,Rail,Blue Line,1321537,62930,21,1638864,52867,31,411
2021/01/01 05:00:00+00,The RIDE,The RIDE,39419,2075,19,51681,1667,31,412
2019/03/01 05:00:00+00,Bus,Bus,7384595,351647,21,8690754,280347,31,413
2021/02/01 05:00:00+00,Rail,Blue Line,419302,22069,19,552548,19734,28,414
2019/03/01 05:00:00+00,Commuter Rail,Commuter Rail,2558136,121816,21,2628828,84801,31,415
2019/03/01 05:00:00+00,Ferry,Ferry,115773,5513,21,102937,3321,31,416
2021/02/01 05:00:00+00,Bus,Bus,2708986,142578,19,3423185,122257,28,417
2019/03/01 05:00:00+00,Rail,Green Line,3728685,177556,21,4692764,151379,31,418
2021/02/01 05:00:00+00,Commuter Rail,Commuter Rail,231936,12207,19,257158,9184,28,419
2019/03/01 05:00:00+00,Rail,Orange Line,4150058,197622,21,4996003,161161,31,420
2021/02/01 05:00:00+00,Ferry,Ferry,4074,214,19,4074,146,28,421
2021/12/01 05:00:00+00,Bus,Bus,4497860,195559,23,5438831,175446,31,422
2019/03/01 05:00:00+00,Rail,Red Line,5248193,249914,21,6256835,201833,31,423
2021/02/01 05:00:00+00,Rail,Green Line,814216,42853,19,1092775,39028,28,424
2021/12/01 05:00:00+00,Commuter Rail,Commuter Rail,1024813,44557,23,1141384,36819,31,425
2019/03/01 05:00:00+00,Bus,Silver Line,786680,37461,21,995833,32124,31,426
2021/02/01 05:00:00+00,Rail,Orange Line,949242,49960,19,1214637,43380,28,427
2021/12/01 05:00:00+00,Ferry,Ferry,31507,1370,23,32649,1053,31,428
2019/03/01 05:00:00+00,The RIDE,The RIDE,127197,6057,21,154294,4977,31,429
2021/02/01 05:00:00+00,Rail,Red Line,1054916,55522,19,1361622,48629,28,430
2021/12/01 05:00:00+00,Rail,Green Line,1916108,83309,23,2388560,77050,31,431
2019/04/01 04:00:00+00,Rail,Blue Line,1474893,67041,22,1777688,59256,30,432
2021/02/01 05:00:00+00,Bus,Silver Line,246434,12970,19,328957,11748,28,433
2021/12/01 05:00:00+00,Rail,Orange Line,2023699,87987,23,2458522,79307,31,434
2019/04/01 04:00:00+00,Bus,Bus,7715777,350717,22,8801806,293394,30,435
2021/02/01 05:00:00+00,The RIDE,The RIDE,39954,2103,19,48317,1726,28,436
2021/12/01 05:00:00+00,Rail,Red Line,2231045,97002,23,2674844,86285,31,437
2019/04/01 04:00:00+00,Commuter Rail,Commuter Rail,2655972,120726,22,2689704,89657,30,438
